category,reports,pct_loss,total_loss_M,median_loss
Imposter Scams,845806,22,2952,800
Online Shopping and Negative Reviews,383441,76,432,130
Business and Job Opportunities,126217,36,751,2250
Investment Related,118960,79,5697,9196
Internet Services,118261,28,164,300
Prizes Sweepstakes and Lotteries,97350,22,351,1000
Telephone and Mobile Services,92520,39,56,240
Health Care,78763,51,80,283
Travel Vacations and Timeshare Plans,58347,67,274,922
Mortgage Foreclosure Relief and Debt Management,34159,21,82,1500
