state,reports,total_loss,median_loss
Alabama,26049,104201969,400
Alaska,4917,26942595,525
Arizona,54367,336716502,600
Arkansas,14393,52115298,375
California,238705,1678703608,542
Colorado,44945,210727907,500
Connecticut,20825,90349831,432
Delaware,7540,34282919,466
District of Columbia,7082,30392313,448
Florida,159307,866069909,520
Georgia,67703,291260795,450
Hawaii,8832,61597207,600
Idaho,10359,53935183,490
Illinois,71060,318113996,400
Indiana,34586,112284529,375
Iowa,13975,51955685,400
Kansas,14747,57590798,402
Kentucky,22129,70763918,349
Louisiana,20534,89368368,425
Maine,7675,29251463,350
Maryland,43876,198919905,435
Massachusetts,40845,210339833,425
Michigan,53351,204033291,350
Minnesota,31081,144567540,412
Mississippi,12911,44397299,353
Missouri,35317,139349918,400
Montana,6569,22546556,459
Nebraska,9655,41875694,400
Nevada,24331,138538256,519
New Hampshire,8838,34625261,325
New Jersey,55969,314439857,500
New Mexico,12694,56598540,500
New York,118933,533979898,429
North Carolina,63176,276797227,407
North Dakota,3127,14369138,479
Ohio,63367,226195712,350
Oklahoma,19331,72729698,432
Oregon,30013,123704947,400
Pennsylvania,74926,285404657,350
Puerto Rico,2759,14458031,609
Rhode Island,5948,20655420,350
South Carolina,31929,137049006,450
South Dakota,3880,20431576,400
Tennessee,39942,157176393,400
Texas,162101,897890888,500
Utah,19493,113094286,550
Vermont,3914,10552373,285
Virginia,57867,293690299,450
Washington,56358,297200858,465
West Virginia,8767,27018386,341
Wisconsin,30287,106041111,357
Wyoming,3577,20097503,600
